zip_code,label,date,actual_zhvi,pred_zhvi
02126,Mattapan (boston_city),2023-01-31,532148.2434347831,536455.5574057237
02126,Mattapan (boston_city),2023-02-28,529654.4041925529,542786.6637696741
02126,Mattapan (boston_city),2023-03-31,529416.0868123771,553441.0360310567
02126,Mattapan (boston_city),2023-04-30,532427.823421209,561403.0110538283
02126,Mattapan (boston_city),2023-05-31,537316.4011050612,568519.402423678
02126,Mattapan (boston_city),2023-06-30,541518.0970272636,572641.4861921995
02126,Mattapan (boston_city),2023-07-31,544483.7514540328,573955.649994899
02126,Mattapan (boston_city),2023-08-31,547314.4690719375,571764.3003743277
02126,Mattapan (boston_city),2023-09-30,549744.5088055274,565784.5992193726
02126,Mattapan (boston_city),2023-10-31,552228.5384893474,561033.1791951966
02126,Mattapan (boston_city),2023-11-30,554454.093816599,557952.5653443907
02126,Mattapan (boston_city),2023-12-31,557434.0072391401,555554.2854253985
02126,Mattapan (boston_city),2024-01-31,560167.7730218632,557387.3791719647
02126,Mattapan (boston_city),2024-02-29,563792.85080956,563950.9693203024
02126,Mattapan (boston_city),2024-03-31,568475.1223478018,574175.915023717
02126,Mattapan (boston_city),2024-04-30,574244.9105867652,582643.0652123693
02126,Mattapan (boston_city),2024-05-31,578659.8960683887,589704.3005725348
02126,Mattapan (boston_city),2024-06-30,581215.1795538369,593185.562057608
02126,Mattapan (boston_city),2024-07-31,582654.0599005339,594239.977237147
02126,Mattapan (boston_city),2024-08-31,583883.3259782909,591255.7182834273
02126,Mattapan (boston_city),2024-09-30,585287.4623415534,584721.3417890664
02126,Mattapan (boston_city),2024-10-31,586160.8382110466,579807.2666172402
02126,Mattapan (boston_city),2024-11-30,587755.8653059549,577609.7190337493
02126,Mattapan (boston_city),2024-12-31,590223.641261012,576051.5094664961
02116,Back Bay (boston_city),2023-01-31,1316979.746763046,1313884.3494743947
02116,Back Bay (boston_city),2023-02-28,1313765.42758409,1309991.8165894337
02116,Back Bay (boston_city),2023-03-31,1309885.1005954014,1308087.417195456
02116,Back Bay (boston_city),2023-04-30,1307245.5938181037,1307773.3265953502
02116,Back Bay (boston_city),2023-05-31,1305884.5427110742,1308711.3142866155
02116,Back Bay (boston_city),2023-06-30,1307687.073822992,1311292.5693905856
02116,Back Bay (boston_city),2023-07-31,1308171.314132939,1314767.4836997704
02116,Back Bay (boston_city),2023-08-31,1306456.2350402328,1320279.5957871962
