epoch,loss
0,44953.98548154141
1,38857.205120585924
2,33845.67819427158
3,29970.886134840912
4,27120.608127804175
5,25085.531031601186
6,23635.929535453237
7,22594.389180130973
8,21838.055585256832
9,21272.78274566353
10,20836.511385945403
11,20488.396402369635
12,20199.755477579278
13,19954.182537602323
14,19740.704851385188
15,19551.908018654747
16,19383.93056062479
17,19231.419584971452
18,19092.768889658906
19,18965.694740197425
20,18848.685715532178
21,18740.51152270919
22,18640.54189988555
23,18549.470964095508
24,18465.297031728252
25,18387.12208976855
26,18314.65852419332
27,18248.628137864573
28,18188.546376749855
29,18132.383380405292
30,18081.572469098544
31,18035.17118329723
32,17993.19941206582
33,17955.758544250864
34,17922.093744803595
35,17891.55038504172
36,17863.403539436913
37,17837.619745431104
38,17814.867216190883
39,17794.817602172763
40,17777.120226394425
41,17761.26028407856
42,17747.195896223206
43,17734.800826119543
44,17724.13931542172
45,17715.50306506468
46,17707.894468496386
47,17701.33035945846
48,17695.664653444182
49,17690.469019620006
50,17686.354559384366
51,17683.321772364314
52,17681.348335920145
53,17680.37911175673
54,17679.456561812694
55,17679.129489218813
56,17679.315687679835
57,17680.123780871112
58,17681.450181835353
59,17683.330413908752
60,17685.731441822558
61,17688.445387759573
62,17691.736666228073
63,17695.210613170442
64,17698.82723204797
65,17702.609719195032
66,17706.160158083727
67,17709.690886700937
68,17713.239669893832
69,17716.705209475535
70,17720.33114958306
71,17723.9857029134
72,17727.483920953437
73,17730.78347409577
74,17734.064206209492
75,17737.1072819521
76,17739.738695857035
77,17742.05713869636
78,17744.254846757034
79,17746.22246347359
80,17748.020730091823
81,17749.29566342389
82,17750.399648990013
83,17751.458856523514
84,17752.298304630156
85,17752.886009352238
86,17753.453941043215
87,17754.24248359898
88,17754.94068257349
89,17755.660102349957
90,17756.344218354236
91,17756.788745608654
92,17757.12434481619
93,17757.25547745558
94,17757.3201233339
95,17757.399784984947
96,17757.374691211047
97,17757.441325304313
98,17757.31834596962
99,17757.23821431383
100,17757.116293005518
101,17756.860718185304
102,17756.40772023797
103,17755.75740477982
104,17754.99085115563
105,17754.049328653917
106,17752.825171386616
107,17751.43875251722
108,17750.000514719603
109,17748.49144886212
110,17746.909164326495
111,17745.156372110796
112,17743.29198517755
113,17741.164880372537
114,17739.06054657259
115,17736.560473286656
116,17733.90142799654
117,17731.383955797035
118,17728.686953199514
119,17725.815088157615
120,17722.93833532928
121,17719.922973359775
122,17716.814458304918
123,17713.61926759844
124,17710.27931486332
125,17706.811341211585
126,17703.26671815632
127,17699.67017490347
128,17695.889969113443
129,17691.926613481726
130,17687.715824646286
131,17683.4141685806
132,17678.947953766743
133,17674.403450391255
134,17669.82126155999
135,17665.13603877667
136,17660.488483452165
137,17655.60283584169
138,17650.62319407943
139,17645.46414501806
140,17640.295237225848
141,17635.1255505529
142,17629.934210496027
143,17624.637314397973
144,17619.337356828175
145,17613.93261458086
146,17608.55709593575
147,17603.1090876136
148,17597.633185548304
149,17592.08412885034
150,17586.45948854736
151,17580.82046694081
152,17575.1359382351
153,17569.3000422656
154,17563.40548547055
155,17557.386967030812
156,17551.311947129143
157,17545.198205659286
158,17539.03583830081
159,17532.704581888418
160,17526.642753284603
161,17520.567625462336
162,17514.491739017358
163,17508.3884725343
164,17502.26677609409
165,17496.086038251477
166,17489.706387908733
167,17483.138897133318
168,17476.488111972376
169,17469.54948444249
170,17462.58264979922
171,17455.44951510434
172,17448.263315155837
173,17440.985506252426
174,17433.659571995988
175,17426.25566191107
176,17418.844039792668
177,17411.301100316774
178,17403.717864648228
179,17396.15385621561
180,17388.588862080258
181,17381.00317173912
182,17373.356927914578
183,17365.684384033062
184,17357.97620815868
185,17350.293424182622
186,17342.563486170322
187,17334.75376777695
188,17326.87528555351
189,17318.882590203386
190,17310.795992336953
191,17302.65231128863
192,17294.524132594586
193,17286.339934996307
194,17278.12813600557
195,17269.873612911822
196,17261.662103573533
197,17253.515509163626
198,17245.34825876151
199,17237.111356359328
200,17228.855503349943
201,17220.601619743673
202,17212.258597540087
203,17203.92940160721
204,17195.540256937613
205,17187.12024289338
206,17178.740417267974
207,17170.33966665023
208,17161.970468281914
209,17153.689679045914
210,17145.37163781945
211,17137.071255812985
212,17128.760515045564
213,17120.439934679627
214,17112.162570179196
215,17103.88675182295
216,17095.648381035233
217,17087.42691310604
218,17079.19808205453
219,17070.984193042004
220,17062.743617333275
221,17054.42532189324
222,17046.108682849335
223,17037.785636118435
224,17029.460905967844
225,17021.148151040365
226,17012.750028477618
227,17004.398627429902
228,16996.041606806237
229,16987.628478596584
230,16979.122517660013
231,16970.59223779336
232,16962.006276875687
233,16953.414162947207
234,16944.82816559515
235,16936.25187211363
236,16927.692501455822
237,16919.1617208979
238,16910.64095353354
239,16902.13005776325
240,16893.63025054463
241,16885.128257706085
242,16876.64623706632
243,16868.20002501204
244,16859.77704073483
245,16851.379657997593
246,16843.03534065275
247,16834.70264966398
248,16826.375078322242
249,16818.054719565407
250,16809.748553853307
251,16801.53446995301
252,16793.299540996864
253,16785.095854564966
254,16776.90375021449
255,16768.77446243184
256,16760.695580826366
257,16752.556308364405
258,16744.40070591273
259,16736.203479988835
260,16728.01119412979
261,16719.735741728895
262,16711.477695227426
263,16703.22156083476
264,16694.985626420734
265,16686.757584923304
266,16678.52576109729
267,16670.34420618668
268,16662.15034092626
269,16653.965152000237
270,16645.76342954802
271,16637.57778373962
272,16629.354922122315
273,16621.099968282088
274,16612.777530112126
275,16604.40299999472
276,16596.035977506748
277,16587.651873724433
278,16579.30785068769
279,16570.94864166869
280,16562.604877770966
281,16554.361852745616
282,16546.13603862303
283,16537.94259602078
284,16529.766562757835
285,16521.603232826423
286,16513.47138764886
287,16505.358836669286
288,16497.39966888112
289,16489.473721552542
290,16481.536818937955
291,16473.616492240606
292,16465.731962939702
293,16457.8395887701
294,16449.951454369995
295,16442.025908804815
296,16434.112018001997
297,16426.184356818292
298,16418.270360541213
299,16410.368767507465
300,16402.51619995948
301,16394.632858687273
302,16386.78281870331
303,16378.958568761576
304,16371.129817690158
305,16363.317578806236
306,16355.516445994674
307,16347.737215628984
308,16339.985189639165
309,16332.254343958975
310,16324.492304612695
311,16316.771135995035
312,16309.07641508393
313,16301.381359035151
314,16293.710672010668
315,16286.02005145463
316,16278.363699979976
317,16270.691386473829
318,16263.07744336386
319,16255.426923621553
