true_label,pred_prob,pred_label
0,0.00035038037680832897,0
0,0.049432221885741714,0
0,0.02554537412395705,0
0,0.008541309941875108,0
1,0.7724608856776757,1
0,0.1369153880832257,0
0,0.011252521782360978,0
0,0.0001253857360761708,0
0,0.001335788688348988,0
0,0.023098570346516935,0
1,0.7900249901585302,1
0,8.889391345361637e-05,0
0,0.0006215173207652548,0
0,0.00041479384953603353,0
0,0.006008305563104103,0
0,0.0005398416237507039,0
0,0.010875652208699207,0
1,0.9793465137026598,1
0,0.0005608064276406661,0
0,0.015396380839663906,0
0,0.017588811502725586,0
0,0.9558054528342419,1
1,0.982583909594851,1
0,0.08342953246657357,0
0,0.08496684486158154,0
0,0.0001239077834973682,0
1,0.9864265106041034,1
1,0.40628245978043986,0
0,0.00013211032563118216,0
0,0.024411833417263162,0
1,0.602134788644117,1
0,0.15504640069286718,0
1,0.9573112829677413,1
0,0.0014970003644171487,0
1,0.7416114449176441,1
1,0.994931893854729,1
0,0.06496237700397078,0
0,0.06104382632882418,0
1,0.5779892059723973,1
0,0.7859146636299611,1
0,0.2974525412896497,0
0,0.00039921404455230694,0
1,0.9755892554261716,1
0,0.2311959744079336,0
0,0.23532263838479597,0
0,0.03792769554227554,0
1,0.485658917705754,0
0,0.001931407284097378,0
0,0.011181342513170585,0
0,0.00012329730864257452,0
0,0.00018407561343279112,0
0,0.8175007764119939,1
0,0.5229933554581396,1
0,0.06242232304449046,0
0,0.00018558420170004106,0
0,1.34562193244528e-06,0
0,0.001375893878084581,0
0,0.0007913252352122675,0
0,0.0003042789230918087,0
0,0.07430811216178543,0
1,0.987032862707041,1
1,0.7811872458170753,1
1,0.9642760692862016,1
0,0.36399344150394153,0
0,0.20282398448586192,0
1,0.8790257886223868,1
0,0.5999378705353061,1
0,0.017439385083919394,0
0,0.0017511277924899381,0
1,0.9588934431512022,1
0,1.3783179461761424e-05,0
0,0.6339164595317613,1
1,0.6430514428052497,1
0,2.682110952973337e-05,0
0,0.814173480132592,1
1,0.30853366617220257,0
0,0.031816330676577784,0
0,0.6712355860513751,1
0,8.982262796832187e-05,0
0,0.0001995912906225773,0
0,0.005010388541513198,0
0,0.029250003117800405,0
0,0.06295338053893007,0
0,0.046668579024870586,0
0,0.00010699702952742433,0
0,0.14537239179738165,0
1,0.46751542486531494,0
0,0.0007545176203223977,0
0,0.6481699754690664,1
0,0.47040357394977345,0
0,0.028574979223661465,0
0,0.002264688347524927,0
1,0.9746712682086649,1
1,0.8195606430978337,1
0,0.9961955342213911,1
0,0.9878235697234747,1
1,0.9537169163122863,1
0,0.45905151462201776,0
0,0.09626603615216046,0
0,0.0006262028451064198,0
1,0.962089490033066,1
0,0.06537475713365315,0
0,0.00013325654399856096,0
1,0.9695442674752623,1
0,0.26844775872611637,0
0,0.09867589750543809,0
1,0.9613867354537682,1
1,0.783460199237693,1
1,0.8570631233740076,1
1,0.9910438899100305,1
1,0.9049703049188321,1
1,0.999061714285034,1
1,0.9537769484058388,1
0,1.3345354568944604e-06,0
0,0.00037435278129638403,0
0,6.12302906685681e-05,0
0,0.4687437540316164,0
0,0.08365539255548807,0
1,0.9063974747476992,1
0,0.17194966565509895,0
0,0.02433256780506992,0
0,0.3534074214667392,0
1,0.7173704539968333,1
1,0.9454161722503708,1
0,0.019257275794653507,0
0,0.31533004772934303,0
1,0.8722350069872995,1
0,0.0012510394267041612,0
0,0.3542424977290388,0
1,0.9792419958829207,1
0,0.9977569568536441,1
1,0.18243615374326314,0
0,0.026106063313832705,0
1,0.20681413104487112,0
0,0.010716276175049718,0
0,1.7395817388912174e-06,0
0,0.004601438384442904,0
0,0.0018720526297417415,0
1,0.8563130295799564,1
1,0.8516396619147901,1
0,0.059409465832817844,0
0,0.017746766390588087,0
0,0.10885456791441811,0
0,0.0035258475916712688,0
0,0.0240127979748305,0
0,0.00019563859842626813,0
1,0.9730006823022426,1
0,0.004548033625838686,0
1,0.8665378710026863,1
1,0.8761303411504159,1
0,0.0004728622950041149,0
0,0.10197208351877281,0
1,0.9520302111669409,1
0,0.00669520011667937,0
1,0.7398103239693301,1
0,0.31374557408786885,0
1,0.9666433255834354,1
0,0.003702516003654151,0
0,0.13812129371794882,0
0,0.9490715220242284,1
0,0.020548389515536305,0
0,0.5973943724813071,1
0,7.558877707281203e-05,0
0,0.0263714002124149,0
0,0.0004386523072452471,0
1,0.9850485157500921,1
0,0.9279896167942274,1
0,7.487632562528593e-08,0
0,0.013613696000615159,0
0,0.0008510980075408702,0
0,0.2520283051697416,0
0,0.003758375430155836,0
1,0.9961681870955651,1
0,0.3957428955489718,0
0,0.04168546525482878,0
1,0.7109036303763429,1
0,0.002736383150462647,0
0,0.028439936679511738,0
0,1.8768859925623924e-06,0
0,0.38164547329533344,0
0,0.00915235097598206,0
